bank_account,location_type,age_of_respondent,education_level,job_type
Yes,Rural,24,Secondary education,Self employed
No,Rural,70,No formal education,Government Dependent
Yes,Urban,26,Vocational/Specialised training,Self employed
No,Rural,34,Primary education,Formally employed Private
No,Urban,26,Primary education,Informally employed
No,Rural,26,Primary education,Informally employed
No,Rural,32,Primary education,Self employed
No,Rural,42,Tertiary education,Formally employed Government
Yes,Rural,54,Secondary education,Farming and Fishing
No,Urban,76,No formal education,Remittance Dependent
No,Rural,40,Secondary education,Farming and Fishing
Yes,Rural,69,Secondary education,Other Income
No,Rural,64,No formal education,Farming and Fishing
No,Rural,31,Primary education,Self employed
No,Urban,26,Primary education,Informally employed
No,Rural,38,Primary education,Informally employed
No,Urban,47,Secondary education,Self employed
Yes,Rural,27,Secondary education,Self employed
No,Urban,48,Vocational/Specialised training,Formally employed Private
No,Rural,25,Primary education,Farming and Fishing
No,Rural,26,Primary education,Farming and Fishing
Yes,Urban,32,Vocational/Specialised training,Self employed
No,Urban,34,Secondary education,Self employed
No,Rural,21,Secondary education,Informally employed
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,22,Secondary education,Remittance Dependent
No,Rural,26,Primary education,Self employed
No,Urban,31,Primary education,Informally employed
No,Rural,26,Primary education,Formally employed Private
No,Rural,58,No formal education,Remittance Dependent
No,Urban,55,Secondary education,Informally employed
No,Urban,38,Secondary education,Self employed
Yes,Urban,62,Primary education,Formally employed Government
No,Rural,29,Primary education,Remittance Dependent
No,Rural,42,Primary education,Farming and Fishing
No,Rural,48,Primary education,Informally employed
No,Rural,35,Primary education,Informally employed
No,Rural,45,Primary education,Informally employed
No,Rural,45,Primary education,Farming and Fishing
No,Rural,70,No formal education,Farming and Fishing
No,Rural,67,Primary education,Farming and Fishing
No,Urban,19,Secondary education,Remittance Dependent
Yes,Rural,80,Primary education,Remittance Dependent
No,Rural,66,Secondary education,Farming and Fishing
No,Urban,31,Primary education,Formally employed Private
No,Rural,50,Primary education,Self employed
No,Rural,29,Primary education,Informally employed
No,Rural,33,Vocational/Specialised training,Farming and Fishing
No,Urban,28,Vocational/Specialised training,Self employed
No,Urban,28,Secondary education,Farming and Fishing
No,Urban,26,Secondary education,Informally employed
No,Urban,51,Secondary education,Self employed
No,Urban,16,Primary education,Remittance Dependent
No,Rural,17,Secondary education,Remittance Dependent
Yes,Urban,22,Secondary education,Self employed
No,Rural,66,Primary education,Farming and Fishing
Yes,Rural,50,Vocational/Specialised training,Formally employed Government
No,Urban,33,Primary education,Informally employed
No,Rural,21,Other/Dont know/RTA,Informally employed
No,Rural,30,Secondary education,Informally employed
No,Rural,30,Primary education,Self employed
No,Rural,67,No formal education,Informally employed
No,Rural,50,Secondary education,Farming and Fishing
Yes,Urban,25,Tertiary education,Remittance Dependent
No,Rural,25,No formal education,Farming and Fishing
No,Urban,30,Primary education,Informally employed
No,Rural,37,Primary education,Informally employed
Yes,Urban,30,Primary education,Self employed
No,Urban,28,Primary education,Informally employed
Yes,Urban,30,Secondary education,Formally employed Private
No,Rural,59,Vocational/Specialised training,Informally employed
No,Urban,29,Secondary education,Informally employed
No,Rural,31,Primary education,Farming and Fishing
No,Urban,27,Secondary education,Remittance Dependent
Yes,Rural,55,Primary education,Farming and Fishing
No,Urban,34,Primary education,Informally employed
No,Urban,17,Secondary education,Remittance Dependent
No,Urban,21,Vocational/Specialised training,Informally employed
No,Urban,37,Secondary education,Informally employed
No,Rural,42,Primary education,Farming and Fishing
No,Rural,40,Primary education,Remittance Dependent
No,Rural,17,Secondary education,Remittance Dependent
No,Urban,65,No formal education,Informally employed
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,34,Vocational/Specialised training,Informally employed
No,Rural,46,Secondary education,Farming and Fishing
Yes,Urban,54,Primary education,Informally employed
No,Urban,27,Primary education,Informally employed
No,Rural,21,Primary education,Informally employed
No,Rural,64,No formal education,Farming and Fishing
No,Rural,56,Primary education,Remittance Dependent
No,Rural,40,Primary education,Farming and Fishing
Yes,Urban,21,Tertiary education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
Yes,Rural,42,Secondary education,Farming and Fishing
No,Rural,22,Primary education,Remittance Dependent
No,Rural,52,Primary education,Informally employed
No,Urban,35,Primary education,Informally employed
No,Rural,64,Primary education,Remittance Dependent
Yes,Urban,42,Secondary education,Farming and Fishing
No,Urban,23,Primary education,Formally employed Private
No,Rural,42,Vocational/Specialised training,Informally employed
No,Urban,27,Secondary education,Formally employed Government
No,Rural,43,Primary education,Informally employed
Yes,Urban,16,Secondary education,Remittance Dependent
Yes,Urban,26,Secondary education,Informally employed
No,Rural,19,Primary education,Informally employed
Yes,Rural,49,Tertiary education,Formally employed Government
No,Urban,44,No formal education,Self employed
No,Urban,30,Primary education,Self employed
No,Rural,16,Primary education,Remittance Dependent
No,Urban,50,Vocational/Specialised training,Farming and Fishing
No,Rural,30,Primary education,Formally employed Private
No,Urban,49,Primary education,Self employed
No,Rural,72,No formal education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,21,Primary education,Remittance Dependent
No,Rural,52,No formal education,Farming and Fishing
Yes,Rural,55,Secondary education,Farming and Fishing
No,Rural,35,Primary education,Remittance Dependent
No,Rural,38,Primary education,Farming and Fishing
No,Rural,19,Secondary education,Remittance Dependent
Yes,Urban,53,Tertiary education,Self employed
No,Urban,17,Secondary education,Remittance Dependent
No,Urban,29,Primary education,Informally employed
Yes,Rural,24,Tertiary education,Formally employed Private
No,Urban,63,Vocational/Specialised training,Farming and Fishing
No,Urban,47,Secondary education,Remittance Dependent
Yes,Urban,42,Tertiary education,Formally employed Government
No,Rural,17,Secondary education,Informally employed
Yes,Rural,28,Primary education,Informally employed
No,Urban,62,Primary education,Informally employed
No,Rural,52,Primary education,Informally employed
No,Rural,44,Primary education,Informally employed
No,Urban,28,No formal education,Self employed
Yes,Urban,30,Secondary education,Self employed
Yes,Urban,39,Primary education,Informally employed
No,Urban,81,No formal education,Remittance Dependent
Yes,Rural,62,Primary education,Farming and Fishing
No,Urban,78,Primary education,Self employed
No,Urban,28,Primary education,Self employed
No,Urban,28,Primary education,Formally employed Government
No,Rural,39,Primary education,Farming and Fishing
No,Rural,42,No formal education,Farming and Fishing
No,Rural,17,Primary education,Remittance Dependent
No,Rural,50,Secondary education,Farming and Fishing
No,Rural,25,Primary education,Self employed
Yes,Urban,34,Primary education,Informally employed
No,Rural,33,Primary education,Farming and Fishing
Yes,Urban,26,Secondary education,Self employed
No,Rural,36,No formal education,Farming and Fishing
No,Rural,78,No formal education,Farming and Fishing
Yes,Rural,36,Vocational/Specialised training,Formally employed Government
No,Urban,17,Secondary education,Remittance Dependent
No,Urban,20,Tertiary education,Remittance Dependent
