monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,financial_stress_level,actual_savings
3119.58,3212.07,0.38,3676.11,721.0,0.56,125.77,857.55,1910.85,1501.65,8.3,Low,0.0
3262.44,3732.81,0.1,2607.17,670.0,0.42,454.19,534.51,3165.2,1603.17,22.6,Low,0.0
2931.2,3335.58,0.15,3004.14,691.0,0.24,971.82,353.67,1504.56,1097.82,58.8,Low,0.0
3506.79,2327.59,0.17,3346.97,717.0,0.16,482.76,594.08,1450.72,1155.64,74.5,Low,1179.2
4606.87,2182.58,0.34,2670.09,795.0,0.25,263.74,556.86,1000.0,1170.86,38.7,High,2424.29
4028.39,3876.57,0.26,2079.72,643.0,0.43,323.2,431.04,2330.01,548.67,53.7,Medium,151.82
4145.45,3035.61,0.15,2215.8,683.0,0.3,609.88,443.5,2860.3,637.04,74.7,High,1109.84
3202.37,2689.51,0.25,3650.48,655.0,0.24,524.64,602.88,3526.55,1453.18,83.1,Medium,512.86
4765.11,2628.56,0.06,2813.81,715.0,0.52,103.3,733.67,2503.65,1675.75,71.6,Low,2136.55
3581.79,3370.8,0.13,2195.92,749.0,0.52,643.48,464.34,1691.26,682.16,77.9,High,210.99
3832.71,3230.77,0.23,3178.17,611.0,0.19,316.34,585.69,3029.36,1254.48,62.5,Medium,601.94
2136.79,3444.29,0.34,2685.16,669.0,0.39,285.31,283.44,2492.21,773.98,36.1,High,0.0
5462.92,3049.29,0.29,2973.21,670.0,0.23,679.87,582.65,1483.81,1502.86,39.0,Low,2413.63
2110.66,2707.86,0.24,1420.73,647.0,0.32,331.5,309.46,3236.23,790.3,17.2,Medium,0.0
3507.29,2661.4,0.26,3493.12,739.0,0.4,650.88,248.39,2825.21,1009.85,11.2,Medium,845.89
2098.58,4614.09,0.16,2896.61,620.0,0.29,655.47,494.7,1332.65,868.9,94.2,Low,0.0
3677.65,3489.82,0.3,2068.33,631.0,0.13,511.94,362.3,2576.38,1284.68,50.0,Low,187.83
1884.19,2764.11,0.29,3904.13,676.0,0.41,550.79,633.22,2517.59,1187.56,68.6,Low,0.0
3697.31,3523.56,0.17,3122.47,743.0,0.52,351.55,516.89,2177.0,919.0,90.6,Medium,173.75
