Customer_ID,Age,Gender,Country,Education,Occupation,Marital_Status,Monthly_Income,Other_Income,Income_Source,Monthly_Expenses,Monthly_Savings,Emergency_Fund,Savings_Rate,Loan_Amount,Monthly_Loan_Payment,Debt_to_Income_Ratio,Bank_Balance,Mobile_Money_Balance,Number_of_Transactions,Cash_In,Cash_Out,Transfers,Airtime_Purchases,Business_Type,Monthly_Revenue,Monthly_Profit,Supplier_Payments,Invoice_Value,POS_Sales,Investment_Type,Investment_Value,Monthly_Return,Financial_Literacy_Score,Spending_Discipline,Risk_Tolerance,Saving_Consistency,Financial_Goal,Financial_Health_Score,Funding_Readiness,Investment_Readiness,Loan_Default_Risk,Predicted_Savings_12_Months,Predicted_Business_Growth,Budget_Recommendation,Loan_Eligibility,Recommended_Investment,Financial_Risk_Level
1,40,F,Nigeria,Primary,Nurse,Single,376353,207001,Business,413022,59736,561913,0.1,394810,11844,0.02,767905,305548,19,953893,532084,109,2457,Manufacturing,770977,138848,156497,1019413,346856,Stocks,1780562,-25086.25,92,35,High,48,Emergency Fund,42.6,Not Ready,Not Ready,Low,825054,23.4,Reduce Spending,Decline,Crypto,High
2,27,M,Ghana,Postgraduate,Engineer,Married,1257292,161733,Mixed,933919,377122,108061,0.27,2439407,73182,0.05,1198902,334974,53,390487,102163,280,46668,Manufacturing,576712,126478,1308157,873853,388143,Mutual Fund,2230196,50757.54,60,79,Medium,94,Emergency Fund,54.1,Not Ready,Not Ready,Low,4727448,2.5,Healthy,Review,Stocks,Medium
3,24,F,Rwanda,Diploma,Trader,Married,307601,268400,Business,334061,200809,159367,0.35,2050859,61525,0.11,885365,20555,176,81390,801710,285,37553,Agriculture,2681904,407747,744377,2502967,1805380,Crypto,1913463,-25111.72,31,54,High,80,Home,39.5,Not Ready,Not Ready,Low,2808902,-3.2,Healthy,Decline,Mutual Fund,High
4,51,M,South Africa,Diploma,Farmer,Single,183636,114403,Salary,230243,26476,259642,0.09,1668903,50067,0.17,820880,480675,132,84495,174447,229,26322,Manufacturing,4659036,621290,297154,1815738,4077548,Crypto,1167782,59136.1,65,68,Low,49,Retirement,39.9,Not Ready,Not Ready,Low,296486,-0.5,Reduce Spending,Decline,Stocks,High
5,59,M,Ghana,Postgraduate,Trader,Single,1247703,167044,Salary,1236777,139412,540531,0.1,2590371,77711,0.05,1374564,354523,194,56615,478825,286,25714,Food,3389250,575134,227133,2029653,2538071,Savings,261086,-245.17,46,76,Low,40,Education,37.6,Not Ready,Not Ready,Low,1733205,-3.4,Reduce Spending,Decline,Treasury Bills,High
6,60,F,Ghana,Postgraduate,Farmer,Single,589022,182132,Business,525351,155324,120956,0.2,2047105,61413,0.08,978250,251865,128,327000,90056,73,6696,Agriculture,2924237,795700,1013742,2912696,1429341,Crypto,96870,50.52,87,66,High,38,Emergency Fund,49.3,Not Ready,Not Ready,Low,2082464,-4.2,Healthy,Decline,Crypto,High
7,52,F,Ghana,Primary,Teacher,Married,751357,116938,Salary,596757,231317,795158,0.27,818501,24555,0.03,1691469,125508,107,775813,842348,116,13101,Services,4392268,868942,1543026,131551,4147539,Stocks,1171966,31905.61,44,97,Medium,64,Business Expansion,49.0,Not Ready,Not Ready,Low,3395991,16.7,Healthy,Decline,Mutual Fund,High
8,59,M,Nigeria,Postgraduate,Engineer,Single,1339812,1000,Mixed,822870,392125,838487,0.29,2697495,80924,0.06,178793,437596,174,125728,953970,198,46628,Food,1722012,333054,384387,1830013,1436200,Savings,1394678,-15794.75,70,79,High,71,Retirement,53.1,Not Ready,Not Ready,Low,6017011,16.7,Healthy,Review,Stocks,Medium
9,29,F,Kenya,Postgraduate,Nurse,Single,1210623,287459,Business,632252,268381,761654,0.18,2724933,81747,0.05,216528,276080,196,978976,146014,222,12766,Agriculture,1820351,106305,456231,1238791,1229900,Crypto,2459695,30989.53,89,73,Low,36,Home,46.5,Not Ready,Not Ready,Low,4070824,5.6,Healthy,Decline,Savings,High
10,29,M,Rwanda,Postgraduate,Nurse,Married,421437,74217,Mixed,302557,155951,583506,0.31,259020,7770,0.02,684634,357738,137,556506,582423,247,6953,Agriculture,4750104,318479,411198,1171474,2010288,Crypto,409973,12615.44,91,23,Medium,28,Retirement,39.0,Not Ready,Not Ready,Low,1928013,24.2,Healthy,Decline,Crypto,High
11,55,F,Kenya,Secondary,Civil Servant,Married,484858,234633,Mixed,306088,159216,463594,0.22,1325315,39759,0.06,153140,351878,66,449145,76672,108,43874,Manufacturing,2589903,738590,1891200,657796,2374235,Mutual Fund,2698858,124216.7,38,52,Medium,37,Business Expansion,35.0,Not Ready,Not Ready,Low,1887349,23.6,Healthy,Decline,Savings,High
12,32,M,Zambia,Bachelor,Teacher,Married,807875,166999,Mixed,390638,324932,354397,0.33,2323855,69715,0.07,962902,230926,185,18960,403014,169,33910,Services,2528448,514990,144827,483327,2381281,Treasury Bills,958624,73976.63,33,30,Medium,53,Retirement,32.2,Not Ready,Not Ready,Low,3571010,18.4,Healthy,Decline,Mutual Fund,High
13,23,M,Rwanda,Secondary,Teacher,Married,444500,222988,Mixed,562296,51359,17649,0.08,2661032,79830,0.12,186736,420284,71,87810,637720,113,4366,Services,2268375,700547,961632,58428,1330477,Crypto,2319719,50514.28,54,99,Low,36,Education,45.2,Not Ready,Not Ready,Low,684573,2.2,Reduce Spending,Decline,Treasury Bills,High
14,38,F,Uganda,Bachelor,Farmer,Single,994673,262190,Salary,904547,172411,842718,0.14,76181,2285,0.0,526229,19372,8,19329,768690,258,36113,Retail,1639276,334855,525227,1885086,751533,Treasury Bills,2726742,63308.84,83,89,High,70,Retirement,55.9,Not Ready,Not Ready,Low,2116751,1.5,Reduce Spending,Review,Stocks,Medium
15,47,M,Nigeria,Bachelor,Trader,Married,402352,29046,Business,171034,231434,912825,0.54,2122078,63662,0.15,1407231,147814,158,253978,726333,150,2964,Food,3904170,412302,574210,1879923,1569447,Stocks,1527319,116349.1,90,61,Low,51,Education,53.7,Not Ready,Not Ready,Low,3572230,4.3,Healthy,Review,Mutual Fund,Medium
16,52,F,Kenya,Postgraduate,Entrepreneur,Single,70382,47632,Salary,58451,21611,418917,0.18,2461220,73836,0.63,88381,206558,10,314201,319023,119,5536,Retail,4962228,1673715,1799389,661174,3779476,Treasury Bills,2502151,47419.88,61,83,Medium,39,Education,41.8,Not Ready,Not Ready,High,308517,14.3,Healthy,Decline,Treasury Bills,High
17,60,M,South Africa,Bachelor,Trader,Married,816458,55006,Mixed,485527,237725,53247,0.27,2633046,78991,0.09,40511,328323,141,713728,256439,250,17287,Services,77802,14555,157034,2119613,69541,Treasury Bills,385632,17712.06,28,80,Low,52,Emergency Fund,39.1,Not Ready,Not Ready,Low,3532936,2.0,Healthy,Decline,Stocks,High
18,60,M,Rwanda,Bachelor,Trader,Married,1407971,103961,Business,593598,370270,266275,0.24,2732733,81981,0.05,1559639,363272,82,651323,595341,68,817,Retail,4096838,279397,573657,2828578,1862977,Crypto,913072,43435.53,57,86,Medium,56,Business Expansion,45.6,Not Ready,Not Ready,Low,4826953,18.0,Healthy,Decline,Crypto,High
19,37,F,Rwanda,Bachelor,Farmer,Married,871279,110015,Business,838128,136204,78237,0.14,2438871,73166,0.07,190379,74312,196,549522,274526,184,8690,Retail,4317656,578006,246301,2960009,2594279,Mutual Fund,2088293,145701.39,82,70,Low,23,Home,42.7,Not Ready,Not Ready,Low,1473350,9.8,Reduce Spending,Decline,Savings,High
