age,gender,education_level,job_title,monthly_income_usd,credit_score
56,Female,High School,Salesperson,3531.69,430
19,Female,PhD,Salesperson,3531.73,543
20,Female,Master,Teacher,2799.49,754
25,Male,PhD,Manager,5894.88,461
53,Female,PhD,Student,5128.93,516
62,Male,Master,Student,4051.0,718
22,Female,Master,Accountant,983.69,761
18,Female,Bachelor,Accountant,6199.29,540
49,Female,High School,Doctor,4271.51,327
61,Male,Master,Student,5216.18,558
26,Female,Master,Manager,3677.43,412
66,Other,Bachelor,Unemployed,4808.1,429
61,Male,Bachelor,Student,2449.33,497
65,Female,High School,Driver,5546.28,788
57,Male,PhD,Accountant,3286.51,301
65,Other,Bachelor,Student,5112.24,430
41,Male,Master,Engineer,4586.14,462
58,Male,High School,Doctor,2571.3,332
68,Female,Bachelor,Unemployed,5757.35,583
22,Male,Bachelor,Engineer,3520.81,345
23,Male,High School,Engineer,8237.77,622
49,Female,Bachelor,Teacher,7093.07,707
24,Female,Master,Driver,1694.87,641
69,Male,Bachelor,Salesperson,998.46,649
57,Female,Other,Driver,2676.43,357
18,Male,Bachelor,Accountant,5704.87,746
39,Female,High School,Driver,3525.22,588
40,Male,PhD,Doctor,7744.01,624
21,Female,PhD,Doctor,500.0,567
18,Other,PhD,Teacher,6561.08,495
67,Female,Master,Salesperson,4101.49,398
35,Male,Bachelor,Salesperson,4989.2,572
37,Female,Bachelor,Engineer,3177.42,805
22,Male,Bachelor,Doctor,5968.05,432
40,Female,Master,Accountant,5227.68,469
67,Female,High School,Unemployed,6715.76,431
23,Female,Bachelor,Student,5715.32,660
20,Female,Other,Engineer,3680.12,357
62,Other,High School,Unemployed,5687.15,558
28,Male,Other,Manager,1867.36,340
44,Female,Bachelor,Doctor,970.85,555
64,Female,High School,Salesperson,5359.32,523
28,Female,Bachelor,Engineer,3770.92,736
54,Female,Bachelor,Accountant,6475.63,745
66,Female,High School,Student,4484.67,353
22,Male,Master,Student,8094.8,734
51,Male,Bachelor,Driver,3461.19,437
27,Female,High School,Unemployed,5435.08,410
40,Male,High School,Manager,5120.45,360
68,Male,High School,Unemployed,2175.74,645
66,Female,Master,Accountant,7928.51,552
32,Female,PhD,Student,3605.56,662
62,Female,Bachelor,Accountant,2457.83,324
27,Female,Bachelor,Unemployed,5152.35,724
23,Female,Master,Unemployed,1202.86,542
53,Other,Master,Doctor,5125.94,740
32,Female,Bachelor,Salesperson,2870.89,438
30,Female,High School,Salesperson,1995.91,849
47,Male,Master,Teacher,4742.29,528
47,Female,High School,Doctor,2792.03,594
55,Female,Bachelor,Engineer,3521.64,497
24,Female,Master,Engineer,5646.21,849
50,Female,Master,Doctor,7019.54,458
62,Male,Bachelor,Salesperson,4804.07,710
68,Female,Master,Doctor,500.0,759
53,Female,Master,Engineer,6992.09,328
39,Female,High School,Doctor,4111.45,543
43,Female,Bachelor,Teacher,6188.38,479
41,Male,Master,Teacher,1965.62,775
57,Female,Bachelor,Student,5033.34,670
19,Female,Bachelor,Driver,3314.62,386
49,Female,Master,Student,3257.12,627
64,Female,Master,Manager,3519.35,751
54,Male,Bachelor,Teacher,3250.36,381
18,Female,Bachelor,Teacher,3341.34,525
61,Male,Other,Engineer,3806.35,427
67,Male,Bachelor,Accountant,2754.29,408
40,Female,Master,Doctor,3163.71,677
40,Male,High School,Unemployed,2186.84,700
38,Male,Bachelor,Unemployed,5688.88,328
28,Male,Bachelor,Student,5082.0,766
69,Male,Bachelor,Teacher,4265.87,341
56,Male,High School,Driver,5243.62,316
66,Male,Bachelor,Manager,859.55,499
35,Female,Bachelor,Student,500.0,522
56,Male,Bachelor,Manager,3441.0,338
21,Female,Bachelor,Teacher,5426.8,571
64,Male,High School,Doctor,4094.03,592
65,Male,Other,Engineer,2093.08,643
30,Other,Master,Manager,3449.75,792
60,Male,Bachelor,Driver,4937.13,319
66,Male,Bachelor,Engineer,5016.38,656
28,Female,Bachelor,Accountant,3861.95,475
35,Male,Bachelor,Salesperson,3624.84,617
68,Female,Bachelor,Engineer,4480.05,662
42,Female,High School,Student,4611.11,330
27,Female,Bachelor,Teacher,4836.51,522
41,Female,High School,Student,4800.82,495
49,Female,PhD,Unemployed,3532.02,569
29,Female,High School,Student,7693.61,729
46,Female,High School,Student,2914.79,739
46,Female,Bachelor,Unemployed,5754.2,823
32,Male,Bachelor,Accountant,4685.45,686
61,Male,PhD,Accountant,4913.51,820
39,Female,Bachelor,Engineer,3095.39,401
25,Female,Master,Accountant,500.0,391
50,Female,High School,Teacher,6046.28,421
32,Male,High School,Driver,4183.17,522
67,Female,PhD,Doctor,6099.11,613
20,Male,High School,Teacher,2929.53,655
25,Female,Bachelor,Teacher,5011.98,744
32,Male,Bachelor,Manager,500.0,719
51,Female,Master,Unemployed,2223.58,819
65,Female,Master,Teacher,1273.92,617
64,Female,Bachelor,Student,3275.12,748
53,Other,Bachelor,Driver,1760.66,660
22,Male,Master,Unemployed,5694.16,455
37,Male,High School,Doctor,6445.0,505
59,Male,Bachelor,Teacher,911.07,450
69,Female,Bachelor,Teacher,5006.86,492
60,Female,Bachelor,Manager,4746.79,300
48,Female,Bachelor,Teacher,5014.03,388
